run,bitrate_mbps,transfer_mb,label
1,19.3,23.5,baseline
2,18.5,24.7,baseline
3,19.9,24.2,baseline
4,17.1,22.8,baseline
5,19.2,23.3,baseline
6,17.6,23.5,baseline
7,20.6,25.0,baseline
8,18.8,25.1,baseline
9,16.6,22.6,baseline
10,18.7,22.8,baseline
1,18.9,25.5,kprobe-fprobe-null
2,18.4,25.0,kprobe-fprobe-null
3,18.1,24.5,kprobe-fprobe-null
4,19.1,26.1,kprobe-fprobe-null
5,20.9,25.3,kprobe-fprobe-null
6,21.9,26.7,kprobe-fprobe-null
7,18.7,25.3,kprobe-fprobe-null
8,18.2,24.8,kprobe-fprobe-null
9,20.5,27.8,kprobe-fprobe-null
10,21.9,26.3,kprobe-fprobe-null
1,20.5,27.8,kprobe-fprobe-null-stat
2,21.0,28.7,kprobe-fprobe-null-stat
3,22.5,27.3,kprobe-fprobe-null-stat
4,21.3,25.9,kprobe-fprobe-null-stat
5,18.7,25.4,kprobe-fprobe-null-stat
6,18.7,25.4,kprobe-fprobe-null-stat
7,19.7,23.9,kprobe-fprobe-null-stat
8,19.6,23.8,kprobe-fprobe-null-stat
9,22.1,26.8,kprobe-fprobe-null-stat
10,21.3,25.8,kprobe-fprobe-null-stat
1,21.1,25.7,kprobe-fprobe-map
2,20.2,24.5,kprobe-fprobe-map
3,20.2,24.4,kprobe-fprobe-map
4,20.8,25.3,kprobe-fprobe-map
5,19.7,26.1,kprobe-fprobe-map
6,19.2,26.2,kprobe-fprobe-map
7,18.6,25.3,kprobe-fprobe-map
8,23.3,28.4,kprobe-fprobe-map
9,21.5,26.1,kprobe-fprobe-map
10,21.0,25.4,kprobe-fprobe-map
1,21.1,25.6,kprobe-fprobe-map-stat
2,18.4,24.6,kprobe-fprobe-map-stat
3,18.8,25.7,kprobe-fprobe-map-stat
4,18.6,25.4,kprobe-fprobe-map-stat
5,20.5,24.9,kprobe-fprobe-map-stat
6,20.2,24.6,kprobe-fprobe-map-stat
7,18.1,24.4,kprobe-fprobe-map-stat
8,18.6,25.4,kprobe-fprobe-map-stat
9,21.4,26.0,kprobe-fprobe-map-stat
10,18.2,24.2,kprobe-fprobe-map-stat
1,18.3,25.0,fentry-null
2,20.2,24.6,fentry-null
3,20.3,24.7,fentry-null
4,22.3,27.0,fentry-null
5,20.4,27.3,fentry-null
6,18.9,25.7,fentry-null
7,21.6,26.3,fentry-null
8,19.8,24.1,fentry-null
9,19.3,26.3,fentry-null
10,20.4,24.7,fentry-null
1,20.2,24.5,fentry-null-stat
2,19.8,26.1,fentry-null-stat
3,19.6,26.8,fentry-null-stat
4,18.0,24.6,fentry-null-stat
5,17.3,23.6,fentry-null-stat
6,18.8,25.6,fentry-null-stat
7,20.3,24.6,fentry-null-stat
8,21.0,25.5,fentry-null-stat
9,22.7,27.5,fentry-null-stat
10,18.5,24.7,fentry-null-stat
1,20.1,24.3,fentry-map
2,19.6,26.4,fentry-map
3,20.8,25.4,fentry-map
4,19.2,25.4,fentry-map
5,18.6,25.4,fentry-map
6,20.5,25.0,fentry-map
7,19.8,24.2,fentry-map
8,18.7,25.3,fentry-map
9,22.3,27.0,fentry-map
10,19.1,25.5,fentry-map
1,19.8,24.0,fentry-map-stat
2,20.4,27.4,fentry-map-stat
3,19.0,25.9,fentry-map-stat
4,19.5,26.5,fentry-map-stat
5,20.5,24.9,fentry-map-stat
6,19.1,25.5,fentry-map-stat
7,19.5,26.6,fentry-map-stat
8,17.5,23.8,fentry-map-stat
9,19.4,26.5,fentry-map-stat
10,20.4,24.8,fentry-map-stat
